cod_agregadora,nom_agregadora,ind_situacao,sgl_pais
1,"ALTAFONTE","A",
2,"BEATSTARS","A",
3,"BELIEVE","A",
4,"CATAPULT","A",
5,"CD BABY","A",
6,"CMDSHFT","A",
7,"COLONIZE","A",
8,"DITTO","A",
9,"DIY","A",
10,"EMINOR (REVERBNATION)","A",
11,"HEAVEN11","A",
12,"INGROOVES","A",
13,"MIXNAUTEN","A",
14,"ONERPM","A",
15,"PK INTERACTIVE (DISTROKID)","A",
16,"REPOST","A",
17,"REVELATOR","A",
18,"SIMPLY BARCODES","A",
19,"SLINGSHOT","A",
20,"SOLARIS","A",
21,"SONGCAST","A",
22,"SONGTRADR","A",
23,"SONOSUITE","A",
24,"SOUNDCLOUD","A",
25,"SOUNDROP","A",
26,"STACLAR","A",
27,"SYMPHONIC DISTRIBUTION","A",
28,"THE ORCHARD","A",
29,"TRAC USA","A",
30,"TRANSLATION ENTERPRISES (UNITEDMASTERS)","A",
31,"TUNECORE","A",
32,"VYDIA","A",
33,"IMUSICA","A",
34,"IMUSICS","A",
35,"HIT BEL","A",
36,"MUSICPOST","A",
37,"MUSIC PRO","A",
38,"NIKITA","A",
39,"TRATORE","A",
40,"FUGA","A",
49,"ADA WORLDWIDE","A",
50,"AMUSE AB","A",
51,"SOUNDON","A",
52,"ORB MUSIC","A",
53,"DISTROKID","A",
54,"IMUSICIAN DIGITAL","A",
55,"MCK DISCOS","A",
56,"ROUTENOTE","A",
57,"LABEL ENGINE","A",
