id_fono_titular_instru,id_categoria,id_fonograma_titular,id_instrumento,dt_inclusao,dt_alteracao,is_deleted,usuario
1,,3,1,"09/08/15 12:14:48",,0,"ECAD"
2,,4,21,"09/08/15 12:14:48",,0,"ECAD"
3,,5,29,"09/08/15 12:14:48",,0,"ECAD"
4,,6,30,"09/08/15 12:14:49",,0,"ECAD"
5,,7,143,"09/08/15 12:14:49",,0,"ECAD"
6,,8,1494,"09/08/15 12:14:49",,0,"ECAD"
7,,9,1,"09/08/15 12:14:50",,0,"ECAD"
8,,10,47,"09/08/15 12:14:50",,0,"ECAD"
9,,11,1494,"09/08/15 12:14:50",,0,"ECAD"
10,,12,47,"09/08/15 12:14:50",,0,"ECAD"
11,,13,47,"09/08/15 12:14:51",,0,"ECAD"
12,,14,1494,"09/08/15 12:14:51",,0,"ECAD"
13,,15,1494,"09/08/15 12:14:51",,0,"ECAD"
14,,16,1494,"09/08/15 12:14:51",,0,"ECAD"
15,,17,37,"09/08/15 12:14:51",,0,"ECAD"
16,,18,1,"09/08/15 12:14:52",,0,"ECAD"
17,,19,72,"09/08/15 12:14:52",,0,"ECAD"
18,,23,46,"09/08/15 12:14:54",,0,"ECAD"
19,,24,60,"09/08/15 12:14:54",,0,"ECAD"
20,,25,60,"09/08/15 12:14:54",,0,"ECAD"
21,,26,60,"09/08/15 12:14:55",,0,"ECAD"
22,,27,60,"09/08/15 12:14:55",,0,"ECAD"
23,,28,72,"09/08/15 12:14:55",,0,"ECAD"
24,,29,135,"09/08/15 12:14:56",,0,"ECAD"
25,,30,21,"09/08/15 12:14:56",,0,"ECAD"
26,,31,1,"09/08/15 12:14:56",,0,"ECAD"
27,,32,44,"09/08/15 12:14:57",,0,"ECAD"
28,,33,56,"09/08/15 12:14:57",,0,"ECAD"
29,,34,3628,"09/08/15 12:14:57",,0,"ECAD"
30,,34,3630,"09/08/15 12:14:57",,0,"ECAD"
31,,37,1,"09/08/15 12:14:58",,0,"ECAD"
32,,38,24,"09/08/15 12:14:59",,0,"ECAD"
33,,39,29,"09/08/15 12:14:59",,0,"ECAD"
34,,40,18,"09/08/15 12:15:00",,0,"ECAD"
35,,41,46,"09/08/15 12:15:00",,0,"ECAD"
36,,42,46,"09/08/15 12:15:00",,0,"ECAD"
37,,43,18,"09/08/15 12:15:00",,0,"ECAD"
38,,44,72,"09/08/15 12:15:01",,0,"ECAD"
39,,45,46,"09/08/15 12:15:01",,0,"ECAD"
40,,46,1494,"09/08/15 12:15:01",,0,"ECAD"
41,,47,37,"09/08/15 12:15:01",,0,"ECAD"
42,,48,1494,"09/08/15 12:15:01",,0,"ECAD"
43,,49,24,"09/08/15 12:15:01",,0,"ECAD"
44,,50,1,"09/08/15 12:15:01",,0,"ECAD"
45,,53,3628,"09/08/15 12:15:02",,0,"ECAD"
46,,54,18,"09/08/15 12:15:02",,0,"ECAD"
47,,55,72,"09/08/15 12:15:03",,0,"ECAD"
48,,56,1494,"09/08/15 12:15:03",,0,"ECAD"
49,,57,1,"09/08/15 12:15:04",,0,"ECAD"
50,,58,37,"09/08/15 12:15:04",,0,"ECAD"
51,,59,1494,"09/08/15 12:15:04",,0,"ECAD"
52,,60,143,"09/08/15 12:15:05",,0,"ECAD"
53,,61,1494,"09/08/15 12:15:05",,0,"ECAD"
54,,62,29,"09/08/15 12:15:06",,0,"ECAD"
55,,63,56,"09/08/15 12:15:06",,0,"ECAD"
56,,64,1494,"09/08/15 12:15:06",,0,"ECAD"
57,,65,29,"09/08/15 12:15:07",,0,"ECAD"
58,,66,85,"09/08/15 12:15:07",,0,"ECAD"
59,,67,1,"09/08/15 12:15:07",,0,"ECAD"
60,,68,46,"09/08/15 12:15:07",,0,"ECAD"
61,,71,72,"09/08/15 12:15:08",,0,"ECAD"
62,,72,37,"09/08/15 12:15:09",,0,"ECAD"
63,,73,1494,"09/08/15 12:15:09",,0,"ECAD"
64,,74,1494,"09/08/15 12:15:09",,0,"ECAD"
65,,75,1494,"09/08/15 12:15:09",,0,"ECAD"
66,,76,85,"09/08/15 12:15:09",,0,"ECAD"
67,,76,165,"09/08/15 12:15:10",,0,"ECAD"
68,,77,1494,"09/08/15 12:15:11",,0,"ECAD"
69,,78,1494,"09/08/15 12:15:12",,0,"ECAD"
70,,79,1,"09/08/15 12:15:12",,0,"ECAD"
71,,79,135,"09/08/15 12:15:12",,0,"ECAD"
72,,79,141,"09/08/15 12:15:12",,0,"ECAD"
73,,79,3628,"09/08/15 12:15:12",,0,"ECAD"
74,,79,3630,"09/08/15 12:15:12",,0,"ECAD"
75,,82,72,"09/08/15 12:15:13",,0,"ECAD"
76,,90,1494,"09/08/15 12:15:17",,0,"ECAD"
77,,91,213,"09/08/15 12:15:17",,0,"ECAD"
78,,92,214,"09/08/15 12:15:17",,0,"ECAD"
79,,93,793,"09/08/15 12:15:18",,0,"ECAD"
80,,94,1494,"09/08/15 12:15:18",,0,"ECAD"
81,,97,1494,"09/08/15 12:15:20",,0,"ECAD"
82,,98,1494,"09/08/15 12:15:20",,0,"ECAD"
83,,99,18,"09/08/15 12:15:20",,0,"ECAD"
84,,113,72,"09/08/15 12:15:22",,0,"ECAD"
85,,114,793,"09/08/15 12:15:22",,0,"ECAD"
86,,115,56,"09/08/15 12:15:22",,0,"ECAD"
87,,116,214,"09/08/15 12:15:23",,0,"ECAD"
88,,117,1494,"09/08/15 12:15:23",,0,"ECAD"
89,,118,1494,"09/08/15 12:15:23",,0,"ECAD"
90,,119,1494,"09/08/15 12:15:23",,0,"ECAD"
91,,120,60,"09/08/15 12:15:23",,0,"ECAD"
92,,121,60,"09/08/15 12:15:24",,0,"ECAD"
93,,122,60,"09/08/15 12:15:24",,0,"ECAD"
94,,123,60,"09/08/15 12:15:24",,0,"ECAD"
95,,124,37,"09/08/15 12:15:24",,0,"ECAD"
96,,133,213,"09/08/15 12:15:27",,0,"ECAD"
97,,134,213,"09/08/15 12:15:27",,0,"ECAD"
98,,135,41,"09/08/15 12:15:28",,0,"ECAD"
99,,136,1494,"09/08/15 12:15:28",,0,"ECAD"
100,,137,214,"09/08/15 12:15:29",,0,"ECAD"
101,,138,1494,"09/08/15 12:15:29",,0,"ECAD"
102,,139,213,"09/08/15 12:15:29",,0,"ECAD"
103,,140,18,"09/08/15 12:15:30",,0,"ECAD"
104,,141,1494,"09/08/15 12:15:31",,0,"ECAD"
105,,142,3628,"09/08/15 12:15:31",,0,"ECAD"
106,,143,1494,"09/08/15 12:15:31",,0,"ECAD"
107,,144,56,"09/08/15 12:15:31",,0,"ECAD"
108,,145,1494,"09/08/15 12:15:32",,0,"ECAD"
109,,146,72,"09/08/15 12:15:32",,0,"ECAD"
110,,147,44,"09/08/15 12:15:32",,0,"ECAD"
111,,148,18,"09/08/15 12:15:32",,0,"ECAD"
112,,148,135,"09/08/15 12:15:32",,0,"ECAD"
113,,149,1494,"09/08/15 12:15:32",,0,"ECAD"
114,,152,214,"09/08/15 12:15:34",,0,"ECAD"
115,,155,793,"09/08/15 12:15:34",,0,"ECAD"
116,,158,1494,"09/08/15 12:15:35",,0,"ECAD"
117,,159,37,"09/08/15 12:15:35",,0,"ECAD"
118,,160,143,"09/08/15 12:15:36",,0,"ECAD"
119,,161,793,"09/08/15 12:15:36",,0,"ECAD"
120,,162,72,"09/08/15 12:15:36",,0,"ECAD"
121,,163,104,"09/08/15 12:15:36",,0,"ECAD"
122,,163,109,"09/08/15 12:15:36",,0,"ECAD"
123,,164,1494,"09/08/15 12:15:36",,0,"ECAD"
124,,167,143,"09/08/15 12:15:37",,0,"ECAD"
