id_pacote,dsc_pacote,is_deleted
1,"KOKA",0
2,"SONOTON",0
3,"NETWORK MUSIC",0
4,"NETCAP MUSIC",0
5,"KILLER TRACKS",0
6,"SOUNDCAST MUSIC",0
7,"ATMOSPHERE",0
8,"IMMEDIATE MUSIC",0
9,"KILLER EDGE",0
10,"MEGATRAX",0
11,"CARLIN MUSIC",0
12,"FREEPLAY MUSIC",0
13,"AUDIO PANDA",0
14,"SOUND IDEAS",0
15,"DIGITAL JUICE",0
16,"CPM",0
17,"VIDEOHELPER",0
18,"CEZ",0
19,"ZERO TO SIXTY",0
20,"NYB",0
21,"REALITY",0
22,"ACCESS MUSIC",0
23,"CHAPPELL",0
24,"BEAT BITES",0
25,"INTERVOX",0
26,"THE SCENE",0
27,"RELIABLE SOURCE MUSIC",0
28,"AMUSICOM",0
29,"DEEP EAST MUSIC",0
30,"THE MIX",0
31,"KILLER PROMOS",0
32,"MATCH",0
33,"Q-FACTORY",0
34,"JINGLE PUNKS MUSIC",0
35,"EXTREME MUSIC",0
36,"SEE TRAILER TRACKS",0
37,"AUDIO NETWORK",0
38,"KOSINUS",0
39,"MUSICLOOPS",0
40,"L.A. RIOT",0
41,"BANGALO",0
42,"DESCONHECIDO",0
43,"DURAM TRACKS",0
44,"YOOKA MUSIC",0
45,"ACCESS PROMO",0
46,"ASCAP",0
47,"BBC PRODUCTIONS MUSIC",0
48,"UNIVERSAL TRAILER SERIES",0
49,"BERLIN PRODUCTION MUSIC",0
50,"BEST 4 CLASSICAL",0
51,"BLOCK",0
52,"BRUTON",0
53,"BRUTON VAULTS",0
54,"BTV/PICTH",0
55,"BIG SHORTS",0
56,"CHRONIC TRAX",0
57,"CHRONICLES OF HIP HOP",0
58,"CHUCK D PRESENTS",0
59,"CLASSICAL",0
60,"CONNECT",0
61,"DARK FLY",0
62,"DEUTSCHE GRAMMOPHON PM",0
63,"EVO",0
64,"FIRESTCOM",0
65,"FCANIMATED",0
66,"GALERIE",0
67,"GOTHAM MUSIC",0
68,"GREATEST HITS",0
69,"HOLLYWOOD MUSIC",0
70,"LOS EDITIONS",0
71,"MEXICAN MUSIC LIBRARY",0
72,"MANNHEIM STEAMROLLER",0
73,"MASTERSOURCE",0
74,"ONEMUSIC",0
75,"RADAR",0
76,"RCAL",0
77,"REALITY BY C. FRANKE",0
78,"REVERBNATION MUSIC",0
79,"SARAOMUSIC",0
80,"SEE",0
81,"SELECTRACKS",0
82,"SOUND POCKET MUSIC",0
83,"SLAM!",0
84,"ULTIMATE LATIN SERIES",0
85,"VELOCITY",0
86,"VITAMIN A",0
87,"VOLTA MUSIC",0
88,"XS",0
89,"SEVENTH SENSE",0
90,"ATMOSPHERE ARCHIVE",0
91,"AS HEARD ON TV",0
92,"BPM CLASSICAL SERIES",0
93,"BPM EXPLORER SERIES",0
94,"BPM SCORE MUSIC SERIES",0
95,"BRUTON CLASSICAL SERIES",0
96,"B STINGS",0
97,"BRUTON VAULTS ANTHOLOGIES",0
98,"CHAPPELL AV",0
99,"CHAPPELL CLASSICAL",0
100,"CHAPPELL WORLD",0
101,"NUGGETS",0
102,"CHAPPELL GRAND STAGE",0
103,"CHAPPELL SPORTS",0
104,"CHAPPELL NOIR",0
105,"4TV PRODUCERS",0
106,"4RADIO PRODUCERS",0
107,"DIRECTORS CHOICE",0
108,"FIRSTCOM POWER PLAY",0
109,"ROADSIDE COUCH RECORDS",0
110,"KILLER ANIMATION",0
111,"KILLER SCORES SET",0
112,"KILLER STAGE AND SCREEN",0
113,"KILLER LATINO",0
114,"KILLER ARTIST SERIES",0
115,"KOKA CLASSICAL",0
116,"KTV",0
117,"KOSINUS ARCHIVES",0
118,"KOSINUS ARTS",0
119,"KOSINUS MAGAZINE",0
120,"KOSINUS WORLD",0
121,"BEATS PLANET",0
122,"CRITICAL MASS",0
123,"DOCUTRACKS",0
124,"THE FILM MUSIC OF RONALD STEIN",0
125,"FROM THE ARCHIVES",0
126,"KILLAHERTZ",0
127,"QUARTETONE MUSIK",0
128,"SELETRACKS SONG CATALOG",0
129,"SUNSTONE RECORDINGS",0
130,"TRAILER TRACKS TOOLKITS",0
131,"TALON",0
132,"VALENTINO",0
133,"AUDIOMACHINE",0
134,"AUDIOJUNGLE",0
136,"JUSTELECTROMUSICS",0
139,"NO SHEET MUSIC",0
140,"FLEXITRACKS",0
141,"GUM TAPES",0
142,"ICONSARAO",0
143,"10 MILES",0
144,"BURN",0
145,"ELIAS MUSIC",0
146,"FOCUS MUSIC",0
147,"FOCUS SONGS",0
148,"INSIDE TRACKS",0
149,"INVASION FROM",0
