id_sociedade,sgl_sociedade,nome,dt_inclusao,dt_alteracao,is_deleted,usuario,ind_nacional
1020,"SCI","SOCIEDAD CHILENA DE INTERPRETES","12/04/19 09:43:00",,0,"ECAD",1
1023,"LIME BLUE","LIME BLUE MUSIC","12/04/19 09:43:00",,0,"ECAD",1
1024,"ISRA","INDIAN SINGERS RIGHTS ASSOCIATION","12/04/19 09:43:00",,0,"ECAD",1
1025,"BULLOCKS RIGHTS","BULLOCKS RIGHTS MANAGEMENT","12/04/19 09:43:00",,0,"ECAD",1
1026,"RIDENT ROYALTIES","RIDENT ROYALTIES INC.","12/04/19 09:43:00",,0,"ECAD",1
1028,"PI","ORGANIZATION PI","12/04/19 09:43:00",,0,"ECAD",1
1029,"AFM & SAG-AFTRA","AFM & SAG-AFTRA","12/04/19 09:43:00",,0,"ECAD",1
1031,"CREDIDAM","THE ROMANIAN CENTER FOR PERFORMERS RIGHTS MANEGEMENT","12/04/19 09:43:00",,0,"ECAD",1
1033,"GNR","GOOD NEIGHBOUR RIGHTS PTY LTD","12/04/19 09:43:00",,0,"ECAD",1
1035,"FKMP","FEDERATION OF KOREAN MUSIC PERFORMNCE","12/04/19 09:43:00",,0,"ECAD",1
1036,"SENA - PF","STICHTING TER EXPLOITAITIE VAN NABURIGE RECHTEN","12/04/19 09:43:00",,0,"ECAD",1
1038,"ULTRA MUSIC","ULTRA MUSIC","12/04/19 09:43:00",,0,"ECAD",1
1041,"KAZAK","KAZAKHSTANKOE AVTORSKOE OBSCHESTVO","12/04/19 09:43:00",,0,"ECAD",1
1042,"ZANOISE","ZANOISE TALENT BV","12/04/19 09:43:00",,0,"ECAD",1
1044,"AUTODIA","AUTODIAHIRISI","12/04/19 09:43:00",,0,"ECAD",1
1045,"SAMPRA","SOUTH AFRICAN MUSIC PERFORMANCE RIGHTS ASSOCIATION, NPC","12/04/19 09:43:00",,0,"ECAD",1
1046,"WIXEN","WIXEN MUSIC UK LTD","12/04/19 09:43:00",,0,"ECAD",1
1047,"SONGTRADR","SONGTRADR RIGHTS MANAGEMENT LLC","12/04/19 09:43:00",,0,"ECAD",1
1048,"NRG","NEIGHBOURING RIGHTS GROUP S.R.O.","12/04/19 09:43:00",,0,"ECAD",1
1049,"THE FUND","AFM AND SAG-AFTRA INTELLECTUAL PROPERTY RIGHTS DISTRIBUTION ","06/24/21 12:21:59",,0,"ECAD",1
1052,"LSG","WAHRNEHMUNG VON LEISTUNGSSCHUTZRECHTEN GESELLSCHAF M.B.H. IN","06/24/21 12:21:59",,0,"ECAD",1
1053,"GRAMEX - PF","GRAMMOFONINDUSTRIENS OG UDOVENDE KUNSTNERES INST.","12/04/19 09:43:00",,0,"ECAD",1
1054,"SCM","SOCIEDADE CABO-VERDIANA DE MUSICA, CRL","12/04/19 09:43:00",,0,"ECAD",1
1057,"AGEDI","ASOCIACION GESTION DERECHOS INTELECTUALES","12/04/19 09:43:00",,0,"ECAD",1
1058,"GRAMEX FINLAND","ESITTÄVIEN TAITEILIJOIDEN JÁ ÄÄNITTEIDEN TUOTTAJIEN TEKIJÄNO","06/24/21 12:21:59",,0,"ECAD",1
1059,"GOLDEN RULE","GOLDEN RULE MUSIC GMBH","12/04/19 09:43:00",,0,"ECAD",1
1060,"CPI","COPYRIGHT POWER INTERNATIONAL","12/04/19 09:43:00",,0,"ECAD",1
1061,"BATUQUE SUSTENIDO","BATUQUE SUSTENIDO LDA","03/10/21 15:25:14",,0,"ECAD",1
1063,"ITSRIGHT- PF","ITSRIGHT S.R.L.","03/10/21 15:25:14",,0,"ECAD",1
1065,"KSD","KISO SIEFERT DROPMANN","03/10/21 15:25:14",,0,"ECAD",1
1066,"SOUND ACT LTD","SOUND ACT LTD","03/10/21 15:25:14",,0,"ECAD",1
1067,"UNIVERSAL MUSIC","UNIVERSAL MUSIC NEIGHBOURING RIGHTS LTD","03/10/21 15:25:14",,0,"ECAD",1
1068,"UNISON","UNISON RIGHTS","03/10/21 15:25:14",,0,"ECAD",1
1069,"AMANAT","AMANAT","03/10/21 15:25:14",,0,"ECAD",1
1,"ACUM","ACUM","09/08/15 12:14:43",,0,"ECAD",0
2,"AEPI","AEPI","09/08/15 12:14:43",,0,"ECAD",0
3,"AGADU","AGADU","09/08/15 12:14:43",,0,"ECAD",0
4,"AKM","AKM","09/08/15 12:14:43",,0,"ECAD",0
5,"BUCADA","BUCADA","09/08/15 12:14:43",,0,"ECAD",0
6,"APDAYC","APDAYC","09/08/15 12:14:43",,0,"ECAD",0
7,"APRA","APRA","09/08/15 12:14:43",,0,"ECAD",0
8,"ARTISJUS","ARTISJUS","09/08/15 12:14:43",,0,"ECAD",0
9,"ASCAP","ASCAP","09/08/15 12:14:43",,0,"ECAD",0
10,"AUME","AUME","09/08/15 12:14:43",,0,"ECAD",0
11,"AMCOS","AMCOS","09/08/15 12:14:43",,0,"ECAD",0
12,"ARGENTOR","ARGENTOR","09/08/15 12:14:43",,0,"ECAD",0
13,"APA","APA","09/08/15 12:14:43",,0,"ECAD",0
14,"BUMDA","BUMDA","09/08/15 12:14:43",,0,"ECAD",0
15,"AMRA","AMRA","09/08/15 12:14:43",,0,"ECAD",0
16,"BGDA","BGDA","09/08/15 12:14:43",,0,"ECAD",0
17,"BMDA","BMDA","09/08/15 12:14:43",,0,"ECAD",0
18,"SODRAC","SODRAC","09/08/15 12:14:43",,0,"ECAD",0
19,"BMI","BMI","09/08/15 12:14:43",,0,"ECAD",0
20,"MCSN","MCSN","09/08/15 12:14:43",,0,"ECAD",0
21,"BUMA","BUMA","09/08/15 12:14:43",,0,"ECAD",0
22,"BURIDA","BURIDA","09/08/15 12:14:43",,0,"ECAD",0
23,"BSDA","BSDA","09/08/15 12:14:43",,0,"ECAD",0
24,"CASH","CASH","09/08/15 12:14:43",,0,"ECAD",0
25,"CAPAC","CAPAC","09/08/15 12:14:43",,0,"ECAD",0
26,"LITA","LITA","09/08/15 12:14:43",,0,"ECAD",0
27,"SCD","SCD","09/08/15 12:14:43",,0,"ECAD",0
28,"AMAR","ASSOCIACAO DE MUSICOS ARRANJADORES E REGENTES","09/08/15 12:14:43",,0,"ECAD",1
29,"DILIA","DILIA","09/08/15 12:14:43",,0,"ECAD",0
30,"FILSCAP","FILSCAP","09/08/15 12:14:43",,0,"ECAD",0
31,"OMDA","OMDA","09/08/15 12:14:43",,0,"ECAD",0
32,"FOX","FOX","09/08/15 12:14:43",,0,"ECAD",0
33,"GEMA","GEMA","09/08/15 12:14:43",,0,"ECAD",0
34,"IPRS","THE INDIAN PERFORMING RIGHT SOCIETY LIMITED","09/08/15 12:14:43",,0,"ECAD",0
35,"BUBEDRA","BUBEDRA","09/08/15 12:14:43",,0,"ECAD",0
36,"JASRAC","JASRAC","09/08/15 12:14:43",,0,"ECAD",0
37,"MUSICAUTOR","MUSICAUTOR","09/08/15 12:14:43",,0,"ECAD",0
