id_tipo_fonograma,dsc_tipo_fonograma,Ind_Situacao,ind_trilha
1,"STUDIO","A","N"
2,"LIVE (AO VIVO)","A","N"
3,"REMIX","A","N"
4,"UNPLUGGED (ACUSTICO)","I","N"
5,"STUDIO","I","N"
6,"VINHETA","I","N"
7,"CLUB REMIX","I","N"
8,"HOUSE EDIT","I","N"
9,"TAPE","I","N"
10,"EXTENDED MIX","I","N"
11,"LONG VERSION","I","N"
12,"RADIO REMIX","I","N"
13,"VHS","I","N"
14,"A CAPELA","I","N"
15,"SURTO","I","N"
16,"ALBUM","I","N"
17,"ROCK VERSION","I","N"
18,"ACUSTICO AO VIVO","I","N"
78,"RADIO EDIT","I","N"
98,"GROOVE MIX","I","N"
138,"R&B MIX","I","N"
139,"G-VO MIX","I","N"
143,"DRUM N BASS","I","N"
144,"R&B CLASSIC","I","N"
158,"G-VO COOL MIX","I","N"
178,"VO MIX","I","N"
198,"POP MIX","I","N"
218,"RADIO HIT MIX","I","N"
243,"D&B X-PERIENCE MIX","I","N"
278,"EDITED SLOW","I","N"
279,"RADIO VERSION","I","N"
298,"RADIO MIX","I","N"
318,"EDIT MIX","I","N"
358,"DVD","I","N"
378,"ACUSTICO MTV","I","N"
398,"VERSAO DJ HUM","I","N"
399,"MIX","I","N"
419,"STUDIO VERSION","I","N"
439,"MTV AO VIVO","I","N"
440,"PLAY BACK","I","N"
441,"AFOXE","I","N"
442,"AFOX","I","N"
460,"LOUNGE MIX","I","N"
461,"VERSAO DUB","I","N"
482,"ACUSTICO","I","N"
501,"XRS REMIX RADIO EDIT","I","N"
502,"MEME SUPER CLUB MIX 2002","I","N"
521,"INSTITUTO MIX","I","N"
543,"BIBLIOTECA","A","N"
544,"TRILHA","A","S"
546,"NI","A","N"
